Accuracy: 0.4653846153846154 cfg =  {'model_name': 'gpt2', 'inference_max_len': 10, 'dataset_datapoints_num': 10}
Accuracy: 0.5938461538461538 cfg =  {'model_name': 'gpt2', 'inference_max_len': 10, 'dataset_datapoints_num': 50}
Accuracy: 0.68 cfg =  {'model_name': 'gpt2', 'inference_max_len': 10, 'dataset_datapoints_num': 100}
Accuracy: 0.7890769230769231 cfg =  {'model_name': 'gpt2', 'inference_max_len': 10, 'dataset_datapoints_num': 250}
Accuracy: 0.8001538461538461 cfg =  {'model_name': 'gpt2', 'inference_max_len': 10, 'dataset_datapoints_num': 500}
Accuracy: 0.8644615384615385 cfg =  {'model_name': 'gpt2', 'inference_max_len': 10, 'dataset_datapoints_num': 1000}
Accuracy: 0.8645961538461538 cfg =  {'model_name': 'gpt2', 'inference_max_len': 10, 'dataset_datapoints_num': 2000}
Accuracy: 0.5173076923076924 cfg =  {'model_name': 'gpt2', 'inference_max_len': 20, 'dataset_datapoints_num': 10}
Accuracy: 0.67 cfg =  {'model_name': 'gpt2', 'inference_max_len': 20, 'dataset_datapoints_num': 50}
Accuracy: 0.76 cfg =  {'model_name': 'gpt2', 'inference_max_len': 20, 'dataset_datapoints_num': 100}
Accuracy: 0.8616153846153846 cfg =  {'model_name': 'gpt2', 'inference_max_len': 20, 'dataset_datapoints_num': 250}
Accuracy: 0.8780769230769231 cfg =  {'model_name': 'gpt2', 'inference_max_len': 20, 'dataset_datapoints_num': 500}
Accuracy: 0.8746823746823746 cfg =  {'model_name': 'gpt2', 'inference_max_len': 20, 'dataset_datapoints_num': 1000}
Accuracy: 0.8601800900450225 cfg =  {'model_name': 'gpt2', 'inference_max_len': 20, 'dataset_datapoints_num': 2000}
Accuracy: 0.5064102564102564 cfg =  {'model_name': 'gpt2', 'inference_max_len': 30, 'dataset_datapoints_num': 10}
Accuracy: 0.7717948717948718 cfg =  {'model_name': 'gpt2', 'inference_max_len': 30, 'dataset_datapoints_num': 50}
Accuracy: 0.835 cfg =  {'model_name': 'gpt2', 'inference_max_len': 30, 'dataset_datapoints_num': 100}
Accuracy: 0.8876923076923077 cfg =  {'model_name': 'gpt2', 'inference_max_len': 30, 'dataset_datapoints_num': 250}
Accuracy: 0.7243204357432814 cfg =  {'model_name': 'gpt2', 'inference_max_len': 30, 'dataset_datapoints_num': 500}
Accuracy: 0.9169358974358974 cfg =  {'model_name': 'gpt2', 'inference_max_len': 30, 'dataset_datapoints_num': 1000}
Accuracy: 0.9256898167764467 cfg =  {'model_name': 'gpt2', 'inference_max_len': 30, 'dataset_datapoints_num': 2000}
Accuracy: 0.6173076923076923 cfg =  {'model_name': 'gpt2', 'inference_max_len': 40, 'dataset_datapoints_num': 10}
Accuracy: 0.796923076923077 cfg =  {'model_name': 'gpt2', 'inference_max_len': 40, 'dataset_datapoints_num': 50}
Accuracy: 0.8436538461538462 cfg =  {'model_name': 'gpt2', 'inference_max_len': 40, 'dataset_datapoints_num': 100}
Accuracy: 0.8444933580475749 cfg =  {'model_name': 'gpt2', 'inference_max_len': 40, 'dataset_datapoints_num': 250}
Accuracy: 0.9118975903614458 cfg =  {'model_name': 'gpt2', 'inference_max_len': 40, 'dataset_datapoints_num': 500}
Accuracy: 0.9256230229148985 cfg =  {'model_name': 'gpt2', 'inference_max_len': 40, 'dataset_datapoints_num': 1000}
Accuracy: 0.8989974526226407 cfg =  {'model_name': 'gpt2', 'inference_max_len': 40, 'dataset_datapoints_num': 2000}
